,Date,County,Event,Location,Lat,Long,Deaths,Injured,Missing,Houses.Destroyed,Evacuated,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Losses..Local,Education.centers,Damages.in.crops.Ha.,Lost.Cattle,Lost.Goats,Lost.Livestock,source,Comments
0,05-04-17,Nyeri,Floods,Mahigaini Village,-0.437099,36.9580104,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,EoC,"At 1400hrs, Gitonga (Krcs Rm) Reported Of Effects That Were As A Result Of Heavy Downpour. Landslide Was Reported In Mahigaini Village, Mathare East: 7 Households Were Affected.  Following The Continuous Rainfall In Mathare 12 Latrines Sunk. Fortunately No Injuries Or Fatalities Were Reported."
1,05-09-17,Kwale,Floods,Ukunda,-4.2879181,39.565308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"E.o.c Received Report Of Flood At Ukunda In Kwale County After Heavy Downpour Via Krcs Rcat At 0900hrs, River Mwache Was Reported To Be Having An Overflow At Mwache Bridge Paralyzing Transport And Also Lunga Lunga-Kinango-Mariakani Road, Ukunda-Kwale Road And Mrima-Mwabungo Road Were Cut Off Rendering The Road Impassable. Krcs Team Conducting Assessment In The Area."
2,11-12-17,Makueni,Floods,Sultan Hamud,-2.0168394,37.3693679,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,"Krcs Joe Mbalu Makueni County Coordinator At 0817hrs Reported Floods At Sultan Hamud Town In Makueni County, Approximately 10hh Were Displaced And Road Cut Off At Sultan Hamud Bridge Caused By Overflow Of River Sultan Hamud Along Mombasa Road. Assessment Was Conducted By Kibwezi Rcat Team, Motorists Were Advised To Use Wote Makueni Makindu Road As An Alternative Route."
3,5/15/2018,Siaya,Floods,Siaya,0.0626293,34.2878084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"E.o.c Via Social Media At 2241hrs Captured Reports Of Flash Floods Incidents, River Yala Reported To Have Burst Its Banks Flooding To A Nearby School In Dominion Farm, Residents Of The Affected Area Are Being Urged To Move To Higher Grounds"
4,4/21/2016,Baringo,Floods,Marigat,0.4694721,35.9832743,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,EoC,At 0730hrs Lagat (Regional Manager) Reported Of Floods Incident At Kabikoki And Ndau Villages In Marigat. Due To The Continuous Increase Of Rainfall In Highland Areas The Water Level In River Perkerra And Endao Increased And Later Burst Its Banks. Approximately 30 Households Were Affected. Residents Have Been Advised To Move To Higher Grounds. (Brief; 30hhs)
5,3/18/2018,Nakuru,Floods,Naivasha,-0.7171778,36.4310251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"Heavy Rainfall Was Reported In Naivasha And Flash Floods Reported In Areas Like, Kayole, Naivasha Town, Mai Mahiu, Kinamba And Maraiguchu. Krcs Team Are On Standby And Will Update E.o.c In Case Of Any Response."
6,11/26/2018,Tana River,Floods,Bura Tana River,-1.1,39.95,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 1807hrs, Bombe (Krcs) Reported To E.o.c Of Flash Floods At Bura In Tana River County.    Following Heavy Downpour Flash Floods Occurred And Has Affected At Least 52 Households. Some Of The Residents Who Were Affected By The Floods Have Integrated With Other Relatives And Friends. Other Villagers Affected Were The Manyatta, Bulasukela And Bula Lami.  Rcat Team To Conduct An Assessment To Establish The Extent Of The Damage."
7,3/17/2018,Busia,Floods,River Malakisi Teso North Busia,0.7076876,34.4309165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"E.o.c Via Media At 1954hrs Reported A Flash Floods In River Malakisi In Teso North That Has Overflowed Following Heavy Rains, Preliminary Reports Indicates Possible Displacements Of Some Households And Some Livestocks Swept Away. Assessment To Be Conducted To Determine The Level Of Damage."
8,05-09-17,Kwale,Floods,Bondeni Kwale,-4.1816115,39.4605612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"E.o.c Received Report Of Flood At Bondeni In Kwale County After Heavy Downpour Via (Kiwebu 0721923913) At 1158hrs, Several Hh Marooned By Flood Water. Krcs Team Conducting Assessment In The Area."
9,10/16/2017,Homa Bay,Floods,"Mbita,Homabay",-0.4367915,34.2060283,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,"At Around 1035hrs, Maurice Krcs Homabay Notified Eoc Of Floods At Kasgunga Central Area In Mbita Sub County Owing To Heavy Down Pour Witnessed The Previous Night. Rapid Assessment Conducted By Krcs Homa Bay Team Ascertained That 10hh Had Been Submerged Affecting Normal Operations In The Area. No Casualties Reported"
10,4/30/2018,Kirinyaga,Floods,Thiguku Kirinyaga,-0.6590565,37.3827234,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,EoC,"Gitonga (Rm Central) Reported Flash Floods At Thiguku Village In Kirinyaga County After Heavy Downpour Experienced At Kirinyaga East, Thiguku Village Was Most Affected With 47hh Displaced From Their Homes And They Were Relocated To Safer Ground."
11,3/21/2018,Bungoma,Floods,"Tongareni Area, Bungoma",0.5695252,34.5583766,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,EoC,"Godfrey (0712274509) Reported At 1943hrs Of An Incident That Was As Result Of Heavy Downpour. Heavy Rainfall That Was Accompanied By Strong Winds Blew Off Roofs Of Houses In Tongareni Area, Bungoma County. Approximately 10hhs Have Been Affected And Property Of Unknown Value Was Also Destroyed. Krcs Bungoma To Conduct Assessment."
