|fb_id|fb_name|tw_id|tw_name|type|address|latitude|longitude
0|1542121719376709|Cruz Roja Guatemalteca|118124444.0|CruzRojaGT|main| 3a Calle 8-40, Zona 1, Guatemala C.A.   Guatemala |14.6459346|-90.5139401
1|449019285564976|Cruz Roja Guatemalteca|||branch|8va. Avenida 3-31 zona 1 01001 Guatemala City Guatemala |14.646081241063|-90.510848164558
2|437627076428202|Cruz Roja Guatemalteca|||branch|3ra calle 8-40 zona 1, 01001-Ciudad de Guatemala 01001 Guatemala City Guatemala |14.644968944992|-90.510810437691
3|1968297713458312|Cruz Roja Guatemalteca|||branch|1 Av. 3-51 Zona 1, Mazatenango, Suchitepequez 10001 Mazatenango Guatemala |14.5335|-91.50611
4|705926362941929|Cruz Roja Guatemalteca|||branch|"9 Avenida ""A"" atrás de Gobernación Departamental Zona 1, Chiquimula, Chiquimula 20001 Chiquimula Guatemala "|14.79081|-89.55456
5|843450765833329|Cruz Roja Guatemalteca|||branch|8 Av. 6-62 Zona 1, Quetzaltenango, Quetzaltenango 09001 Quetzaltenango Guatemala |14.83143|-91.51721
6|527288390945410|Cruz Roja Guatemalteca|||branch|Barrio La Cruz, Km. 165.5 Carretera CA-14 Ruta a Alta Verapaz 15008 Purulhá Guatemala |15.23377|-90.23668
7|128234131096088|Cruz Roja Guatemalteca|||branch|3 Calle 2-13 Zona 3, Cobán, Alta Verapaz 16001 Cobán Guatemala |15.469273786598|-90.371754169464
8|398709317211070|Cruz Roja Guatemalteca|||branch|0 Av. 5 Calle Zona 2 Barrio El Rosario, Coatepeque, Quetzaltenango 09020 Coatepeque Guatemala |14.70335|-91.8670099
9|923289424475670|Cruz Roja Guatemalteca|||branch|1 Av. 4-38 Zona 1, Ciudad de Tecún Umán, San Marcos 12031 Ciudad Tecún Umán Guatemala |14.67774|-92.142
10|718177601640092|Cruz Roja Guatemalteca|||branch|Colonia Colina 1, 1 Calle atrás del Mercado Cantonal, Santo Tomás de Castilla, Izabal 18013 Santo Tomás de Castilla Guatemala |15.68536|-88.61594
11|1437501686343553|Cruz Roja Guatemalteca|||branch|11 Calle 2 Av. Casa #2, Colonia San Josecito, Zona 1, Retalhuleu, Retalhuleu 11001 Retalhuleu Guatemala |14.54152|-91.6762
12|251304178997232|Cruz Roja Guatemalteca|||branch|14 calle 15 avenida, Puerto Barrios, Izabal 18001 Puerto Barrios Guatemala |15.726500486849|-88.59304189682
13|1755354271161029|Cruz Roja Guatemalteca|||branch|"6 Av. 6 Calle ""B"" 6-36 Zona 1, El Palmar, Quetzaltenango 09019 El Palmar Guatemala "|14.64678|-91.55488
14|1945484422357795|Cruz Roja Guatemalteca|||branch|Calzada Revolución del 71, Zona 1, San Marcos, San Marcos 12001 San Marcos Guatemala |14.96551|-91.78825
15|144879739453747|Cruz Roja Guatemalteca|||branch|6 Av. 1-99 Zona 1, Barrio La Democracia, Jalapa, Jalapa 21001 Jalapa Guatemala |14.56478|-89.92659
16|389110998174294|Cruz Roja Guatemalteca|||branch|Barrio San Pedro Calle Principal al Puente Fray Bartolomé, Sacapulas, El Quiché 14016 Sacapulas Guatemala |15.289|-91.08865
17|1479846142054994|Cruz Roja Guatemalteca Delegación Peten|||branch|Barrio El Porvenir, San Benito, Petén. |16.9159184|-89.9060471
18|127960747931111|Cruz Roja Guatemalteca|||branch|3 Av. Zona 1, Barrio El Porvenir, San Benito Petén, Petén 17003 San Benito Guatemala |16.92083|-89.91839
19|1182769498451123|Cruz Roja Guatemalteca Delegación Mazatenango|||branch||14.5364097|-91.5058097
20|375490716216338|Cruz Roja Guatemalteca|||branch|9 Calle 5 Av. Zona 1, El Estor, Izabal 18003 El Estor Guatemala |15.53167|-89.33695
21|117780805579285|Cruz Roja Guatemalteca|||branch|4 Av. 3-71 Zona 2, Tejutla, San Marcos 12010 Tejutla Guatemala |15.12274|-91.80673
22|351987035242193|Cruz Roja Guatemalteca|||branch|13 Calle 1-66 Zona 5, Frente a CDAG, Santa Cruz del Quiché, El Quiché 14001 Santa Cruz del Quiché Guatemala |15.02683|-91.15117
23|127880801194542|Cruz Roja Guatemalteca|||branch|Aldea Serchil, San Marcos, Km. 267 Carretera al Altiplano 12029 Serchil Guatemala |15.0325|-91.80332
24|1488552347879174|Cruz Roja Guatemalteca|||branch|3 Calle Zona 2, Concepción Chiquirichapa, Quetzaltenango 09011 Concepción Chiquirichapa Guatemala |14.85793|-91.62882
25|169816079772526|Cruz Roja Guatemalteca Delegación Petén|||branch|Barrio el porvenir San Benito Petén San Benito Guatemala |16.9159184|-89.9060471
26|184114105129722|Cruz Roja Guatemalteca Delegación Santo Tomás|||branch||14.6452757|-90.5106878
