|fb_id|fb_name|tw_id|tw_name|type|address|latitude|longitude
0|180532465311930|Rode Kruis|14567528.0|Rode Kruis|main| Anna van Saksenlaan 50, 2593 HT The Hague , Postal Address:, P.O. Box 28120, 2502 KC The Hague   Netherlands |52.0818623|4.3468228
1|149048595164968|Rode Kruis Amsterdam-Amstelland|253550192.0|Rode Kruis Amsterdam-Amstelland|branch|Valkenburgerstraat 24 1011 LZ Amsterdam Netherlands |52.37031515918|4.9081180105921
2|262956790446133|Rode Kruis Haaglanden|501149435.0|RodeKruis Haaglanden|branch|Zilverstraat 2 2544 ER The Hague Netherlands |52.05156|4.26091
3|459686921046656|Rode Kruis Studentendesk Delft|44962575.0|Rode Kruis Delft|branch|Vulcanusweg 263 2624AV Delft Netherlands |51.99673|4.36036
4|535212706999090|Rode Kruis district Rotterdam-Rijnmond|1343882960.0|Rode Kruis Rotterdam - 010 2060622|branch|Leeuwenstraat 9 3011 AL Rotterdam Netherlands |51.9213638|4.4821814
5|1689606157948820|Rode Kruis Utrecht|206720345.0|Rode Kruis Utrecht|branch|Koningsweg 2 Utrecht Netherlands |52.07744|5.13323
6|150818164979368|Rode Kruis Leiden e.o.|228065570.0|RodeKruisLeiden|branch|Apollolaan 1b 2324 BR Leiden Netherlands |52.139693626317|4.4765904569
7|681631778847763|Rode Kruis Woerden|||branch|Woerden Netherlands |52.0798287|4.8627239
8|149048595164968|Rode Kruis Amsterdam-Amstelland|||branch|Valkenburgerstraat 24 1011 LZ Amsterdam Netherlands |52.37031515918|4.9081180105921
9|667776816592311|Rode Kruis Studentendesk Wageningen|||branch|Wageningen Netherlands |51.9691868|5.6653948
10|113007342241825|Rode Kruis Venlo|||branch|Nijmeegseweg 40 5916PT Venlo Netherlands |51.38942|6.17622
11|132119723547236|Rode Kruis Ziekenhuis / Brandwondencentrum Beverwijk|||branch|Vondellaan 13 1942 LE Beverwijk Netherlands |52.47946|4.6507699
12|1460675580851761|Rode Kruis Apeldoorn|||branch|Schuttersweg 41 7314LD Apeldoorn Netherlands |52.214000063604|5.9435606002808
13|1689606157948820|Rode Kruis Utrecht|||branch|Koningsweg 2 Utrecht Netherlands |52.07744|5.13323
14|1434454030125116|Bike-Team Rode Kruis|||branch|Brahmsstraat 5 8031 DB Zwolle Netherlands |52.52642|6.09295
15|653600581404206|Rode Kruis Doesburg|||branch|Roggestraat 3 Doesburg Netherlands |52.0149344569|6.1340430378914
16|262956790446133|Rode Kruis Haaglanden|||branch|Zilverstraat 2 2544 ER The Hague Netherlands |52.05156|4.26091
17|425600167520620|Rode Kruis Studentendesk Amsterdam|||branch|Amsterdam Netherlands |52.3679843|4.9035614
18|238415626178465|Rode Kruis Ede|||branch|Klinkenbergerweg 30c 6711 MK Ede Netherlands |52.04026|5.67092
19|459686921046656|Rode Kruis Studentendesk Delft|||branch|Vulcanusweg 263 2624AV Delft Netherlands |51.99673|4.36036
20|234590103682131|Rode Kruis Kerkrade e.o.|||branch|Hoofdstraat 24b 6461CR Kerkrade Netherlands |50.86426|6.06626
21|535212706999090|Rode Kruis district Rotterdam-Rijnmond|||branch|Leeuwenstraat 9 3011 AL Rotterdam Netherlands |51.9213638|4.4821814
22|268578619850608|Rode Kruis Studentendesk Utrecht|||branch|Koningsweg 2 3582 GE Utrecht Netherlands |52.07744|5.13323
23|1123994301053980|Rode Kruis Bodegraven|||branch|Koninginneweg 3A 2411 xk Bodegraven Netherlands |52.08746|4.75571
24|1496796547204864|Rode Kruis Dronten|||branch|Gouwe 50 Dronten Netherlands |52.53968|5.70125
25|545790135488335|Rode Kruis Fryslân|||branch|James Wattstraat 4 8912 AR Leeuwarden Netherlands |53.1919|5.77095
26|1537051933271578|Rode Kruis Rhenen|||branch|Kerkstraat 1 3911 LD Rhenen Netherlands |51.95704|5.56521
27|245353695653535|Rode Kruis Zaanstreek-Waterland|||branch|Waterlandlaan 101 1441 RT Purmerend Netherlands |52.5031891|4.96101
28|447176062025726|Rode Kruis Studentendesk Groningen|||branch|Atoomweg 2b 9743 AK Groningen Netherlands |53.21352|6.53913
29|783216308392947|Rode Kruis Liemers-Oost|||branch|Vincent van Goghstraat 4 6901 DK Zevenaar Netherlands |51.930232033808|6.0682189464569
30|341296749401948|Rode Kruis Schagen EHV team|||branch|1740 Schagen Netherlands |52.7880912|4.8043998
31|162755137210475|Rode Kruis Hellendoorn-Nijverdal|||branch|Rembrandtplein 21 7442 KH Nijverdal Netherlands |52.3599|6.46636
32|278427178857123|Rode Kruis Studentendesk Tilburg|||branch|Leonard van Vechelstraat 2 5014 HD Tilburg Netherlands |51.56359|5.09129
33|1601408603510239|Rode Kruis Afdeling Haarlemmermeer|||branch|Nieuweweg 33B 2132 CK Hoofddorp Netherlands |52.30519349999999|4.699568699999999
34|782597491751372|Rode Kruis Haaksbergen|||branch|Adriaen Brouwerstraat 10 7482 ZK Haaksbergen Netherlands |52.16126|6.72782
35|379809079126638|Rode Kruis afdeling Salland Midden|||branch|Westdorplaan 132a 8101 PP Raalte Netherlands |52.37747|6.26976
