DATE_TIME,REGION,COUNTIES,NAME,TYPE,SCENE,MINOR_CAS,CRITICAL_CAS,RESCUED,MISSING,DEAD,DAMAGE,SITUATION,RESPONSE_KRCS,HH AFFECTED
20-11-15,Central,None,"FLOOD INCIDENT IN DOL DOL, LAIKIPIA COUN",Floods,Dol Dol area ,0,0,0,2,0,Ambulance,"Heavy rains were reported last night in Dol Dol area in Laikipia County at 2301Hrs, Antony KRCS Laikipia reported flash floods which swept away a county ambulance at 0209Hrs with two people on board (A nurse and a driver) belonging to Laikipia County. KRCS, County Government and Kenya Police responded to the scene and conducted a SAR but due to the rising water level from a seasonal river hindered operation. The SAR teams managed to spot the wreckage of the ambulance and some clothes that belonged to the crew, the SAR operation is still ongoing for the missing crew.",Laikipia,0
04-05-17,Central,Nyeri,FLOODS EFFECT IN NYERI COUNTY,Floods,Mahigaini Village,0,0,0,0,0,"7HH 
12 Latrines","At 1400hrs, Gitonga (KRCS RM) reported of effects that were as a result of heavy downpour. Landslide was reported in Mahigaini village, Mathare East: 7 households were affected.  Following the continuous rainfall in Mathare 12 latrines sunk. Fortunately no injuries or fatalities were reported.",Nyeri,0
10-05-12,Lower Eastern,None,FLOOD ALERT IN MATHARE,Floods,MATHARE,0,0,0,0,1,643HH," The Nairobi River burst its banks at 0428hrs causing floods that submerged several houses and swept away several other houses from Mlango Kubwa, Huruma and Mathare. The number of affected households was 643HH and 4000 people were reported to have been affected. The Nairobi branch disaster response team and tracing were deployed to the area. A woman was reported to have died from the sudden flash flood in Mathare while 2 rescued.",KRCS NAIROBI BRACNCH,0
09-05-17,Coast,Kwale,FLOODS AT UKUNDA,Floods,UKUNDA,0,0,0,0,0,0,"E.O.C received report of flood at Ukunda in Kwale County after heavy downpour via KRCS RCAT at 0900hrs, River Mwache was reported to be having an overflow at Mwache bridge paralyzing transport and also Lunga Lunga-Kinango-Mariakani road, Ukunda-Kwale road and Mrima-Mwabungo road were cut off rendering the road impassable. KRCS team conducting assessment in the area. ",RCAT Kwale,0
24-04-12,South Rift,None,FLOODS IN NAROK TOWN ,Floods,NAROK TOWN,0,0,0,0,0,-,"Floods alert reported at 1700Hrs in Narok town cutting off Narok ? Kisii rd blocked by water at midblock bridge and subsided after 1 hour making the road passable. Residents of Narok Town, Majengo and Duka Moja are most affected. ",-,0
12-11-17,Lower Eastern,Makueni,FLASH FLOODS AT SULTAN HAMUD,Floods,SULTAN HAMUD,0,0,0,0,0,Approximately 50HHs affected.,"KRCS Joe Mbalu Makueni County Coordinator at 0817Hrs reported floods at Sultan Hamud town in Makueni County, approximately 10HH were displaced and road cut off at Sultan Hamud Bridge caused by overflow of River Sultan Hamud along Mombasa road. Assessment was conducted by Kibwezi RCAT team, Motorists were advised to use Wote Makueni Makindu road as an alternative route. ",,0
15-05-18,West Kenya,Siaya,FLASH FLOOD INCIDENTS IN SIAYA COUNTY,Floods,Siaya,0,0,0,0,0,0,"E.O.C via social media at 2241hrs captured reports of flash floods incidents, River Yala reported to have burst its banks flooding to a nearby school in Dominion farm, residents of the affected area are being urged to move to higher grounds",,0
23-04-12,South Rift,None,FLOODS IN HELL?S GATE IN NAIVASHA ,Floods,HELLS GATE NAIVASHA,0,0,0,0,7,-,"40 youth members of PCEA Mukara church in Dagoretti Nairobi, who had visited the renowned park, escaped narrowly when the incident occurred. ",KRCS NAIVASHA SUB BRANCH,0
29-11-15,Coast,None,FLOODING IN KILIFI COUNTY,Floods,"Bate area, Kilifi County",0,0,0,0,0, 17households. ,"At 0836hrs Musa Hassan(KRCS County Manager) reported flash floods in Bate area following River Sabaki burst its banks, in Kilifi County affecting an approximately 17households. KRCS and the county government are evacuating the families to the higher grounds were they have identified evacuation centers at Bate area. Assessment is ongoing.(Brief; 17HHs)",KRCS Kilifi,0
08-05-15,South Rift,None,"FLASH FLOODS IN GODOMA, MARSABIT COUNTY",Floods,"GODOMA, MARSABIT COUNTY",0,0,0,0,1,0,"Flash floods were reported by Bonaya KRCS Marsabit County Manager after heavy rainfall was experienced in Godoma area Moyale Sub - County, KRCS response team will conduct assessment after reports indicated that several HH were affected and 1 person feared dead.",KRCS,0
21-04-16,North Rift,Baringo,MARIGAT FLOODS INCIDENT,Floods,Marigat,0,0,0,0,0,30Hh,At 0730hrs Lagat (Regional manager) reported of floods incident at Kabikoki and Ndau villages in Marigat. Due to the continuous increase of rainfall in highland areas the water level in River Perkerra and Endao increased and later burst its banks. Approximately 30 households were affected. Residents have been advised to move to higher grounds. (Brief; 30HhS),Krcs  Baringo,0
14-04-13,Upper Eastern,None,FLASH FLOODS,Floods,ISIOLO TOWN ,5,0,0,0,0,20HH were destroyed ,"floods incident in Isiolo town was reported also in the Samburu lodge park, floods forced five people to seek refuge on top of a tree after flood spilled into the hotel compound. They sustained injuries and were evacuated to hospital by KRCS volunteers. The area affected most by these floods is around the KRCS office. The floods were caused by water overflowing from upper Isiolo. ",Isiolo Branch,0
18-03-18,South Rift,Nakuru,FLASH FLOODS IN NAIVASHA COUNTY  ,Floods,NAIVASHA COUNTY  ,0,0,0,0,0,0,"Heavy rainfall was reported in Naivasha and flash floods reported in areas like, Kayole, Naivasha town, Mai Mahiu, Kinamba and Maraiguchu. KRCS team are on standby and will update E.O.C in case of any response.",,0
26-11-18,Coast,Tana River,DUPLI FLASH FLOODS AT BURA IN TANA RIVER COUNTY,Floods,AT BURA IN TANA RIVER COUNTY,0,0,0,0,0,0,"At 1807hrs, Bombe (KRCS) reported to E.O.C of Flash floods at Bura in Tana River County.    Following heavy downpour flash floods occurred and has affected at least 52 households. Some of the residents who were affected by the floods have integrated with other relatives and friends. Other villagers affected were the Manyatta, Bulasukela and Bula lami.  RCAT team to conduct an assessment to establish the extent of the damage. ",,52
15-05-12,South Rift,None,FLOODS REPORTED IN KONOIN,Floods,KONOIN,0,0,0,0,3,-,"In Konoin District, Kericho County, three Chemogo primary school pupils died when they were swept away by floods as they walked home after school. Cousins Enock Kipng?etich, 7, and Gilbert Kipng?etich, 13, drowned in Chepkoro stream while David Kangwana was swept away in the Tendwet stream. ",-,0
12-05-12,Upper Eastern,None,FLOODS REPORTED IN SAMBURU EAST ,Floods,SAMBURU EAST ,0,0,0,0,1,-,"One person aged 16 years drowned at river waso near west gate Samburu east, early morning. One body of Nyiro Leleju was yet to be recovered as water level is very high.",KRCS SAMBURU BRANCH,0
16-05-12,North Rift,None,FLOODS REPORTED IN MYANGA VILLAGE BUNGOMA,Floods,MYANGA VILLAGE BUNGOMA ,0,1,0,0,3,-,"In Bungoma Myanga village, houses collapsed due to heavy rainfall the previous night and also the nearby river broke its banks. Three people lost their lives and one person was injured during the incident.",KRCS BUNGOMA BRANCH,0
17-03-18,West Kenya,Busia,FLASH FLOODS REPORTED IN RIVER MALAKISI TESO NORTH,Floods,RIVER MALAKISI TESO NORTH BUSIA COUNTY,0,0,0,0,0,0,"E.O.C via media at 1954hrs reported a flash floods in River Malakisi in Teso North that has overflowed following heavy rains, preliminary reports indicates possible displacements of some households and some livestock’s swept away. Assessment to be conducted to determine the level of damage.",,0
09-05-17,Coast,Kwale,FLOODS AT BONDENI,Floods,Bondeni in Kwale County ,0,0,0,0,0,0,"E.O.C received report of flood at Bondeni in Kwale County after heavy downpour via (Kiwebu 0721923913) at 1158hrs, several HH marooned by flood water. KRCS team conducting assessment in the area. ",Kwale,0
27-11-15,North Rift,None,FLOODS IN TRANS NZOIA COUNTY,Floods,Misikhu area in Kitale.,0,0,0,1,0,0,"At 0845hrs Wekola (KRCS Trans Nzoia) reported of heavy rainfall in Trans Nzoia County.  Following the heavy downpour in the County, an incident was reported in Misikhu area in Kitale. Flash floods displaced approximately 50 households. A motor cyclist was swept away while attempting to cross a river, his body has not yet been retrieved, Search and Rescue operations currently ongoing. (Brief; 1 missing)",(KRCS Trans Nzoia),0
26-05-12,Coast,None,FLOODS IN VOI ,Floods,VOI,0,0,0,0,0,-,"Flash floods were reported to E.O.C by KRCS disaster team in Taita Taveta at 0110Hrs on the hotline number and that it had submerged houses in Voi Sukuma village and the residents were being hosted at a nearby school 30 houses were completely destroyed with 200hh affected and the villages affected are Maweni, Sofia and Mwakingali.",-,0
16-10-17,West Kenya,Homa Bay,FLOODS IN MBITA HOMA BAY COUNTY,Floods,"Mbita,Homabay",0,0,0,0,0,,"At around 1035hrs, Maurice KRCS Homabay notified EOC of floods at Kasgunga Central area in Mbita Sub County owing to heavy down pour witnessed the previous night. Rapid assessment conducted by KRCS Homa Bay Team ascertained that 10HH had been submerged affecting normal operations in the area. No casualties reported",,0
14-11-15,Upper Eastern,None,FLOODS INCIDENT IN MARSABIT COUNTY,Floods, Kulal area of Laisamis Sub-County,0,0,0,0,0,-,"At 1032hrs Talaso (County manager) reported floods in Marsabit County, flashfloods were experienced in Kulal area of Laisamis Sub-County. Destruction of property was reported and KRCS are on the ground to assess the damage. ",Marsabit,0
30-04-18,Central,Kirinyaga,FLASH FLOODS AT THIGUKU IN KIRINYAGA COUNTY,Floods,FLASH FLOODS AT THIGUKU IN KIRINYAGA COUNTY,0,0,0,0,0,47 HHs displaced. ,"Gitonga (RM CENTRAL) reported flash floods at Thiguku village in Kirinyaga County after heavy downpour experienced at Kirinyaga East, Thiguku village was most affected with 47HH displaced from their homes and they were relocated to safer ground. ",,0
30-11-14,Central,None,DROWN INCIDENT AT KAGIO IN KIRINYAGA COUNTY,Floods, KAGIO IN KIRINYAGA COUNTY,0,0,0,0,0,-,"At 2354Hrs, Nyambura (0722861742) reported a boy of 17years who drowned on Friday (28/11/2014) at River Rwamuthambi in Kagio, Kirinyaga County, and rescue efforts since then offered no results. EOC informed NDOC who promised to send a team",-,0
21-03-18,West Kenya,Bungoma,STRONG WIND INCIDENT IN TONGARENI AREA BUNGOMA COU,Floods,"Tongareni area, Bungoma",0,0,0,0,0,10Hhs,"Godfrey (0712274509) reported at 1943hrs of an incident that was as result of heavy downpour. Heavy rainfall that was accompanied by strong winds blew off roofs of houses in Tongareni area, Bungoma County. Approximately 10Hhs have been affected and property of unknown value was also destroyed. KRCS Bungoma to conduct assessment. ",,0
23-04-18,Central,Nyandarua,DROWNING AT KINANGOP IN NYANDARUA COUNTY ,Floods, KINANGOP IN NYANDARUA COUNTY ,0,0,2,0,7,0,"At around 1305hrs, mainstream media reported a drowning incident at Githabai Village in Kinangop Nyandarua County. A personal car with 9 people on board was swept away while attempting to cross a Githabai seasonal river. Two men on board swam to safety with the 7 others recovered dead. ",,0
03-05-17,Upper Eastern,Marsabit,FLOODING IN MARSABIT,Floods,in Laisamis and North Horr sub counties ,0,0,0,0,0,250 shoats dead,Talaso (KRCS RM) reported  heavy amounts of rainfall in Marasbit County. Significant amounts were reported in Laisamis and North Horr sub counties at 1025hrs. Massive livestock deaths were also reported. A farmer reported a loss of 250 shoats. KRCS teams remain on standby. (Brief; 250 shoats),Marsabit RCAT,0
09-05-16,Nairobi,Nairobi,FLOODS INCIDENT AT KIBERA IN NAIROBI COUNTY,Floods,KIBERA IN NAIROBI COUNTY,0,0,0,0,0,3 Hh,"Floods incident was reported on Saturday night in Kibera Otiende area, KLB branch conducted an assessment yesterday and found that approximately three households were affected. ",KRCS KLB,0
01-12-15,Lower Eastern,Isiolo,FLOODING INCIDENT IN ISIOLO COUNTY,Floods,Isiolo,0,0,0,0,0,"Garbaturra-Modagashe road rendered impassable.
 58 houses submerged ",At 1130hrs Gitonga (KRCS County Manager) reported a case of floods in Isiolo County. Heavy rains received in Modagashe area lead to flash floods submerging of approximately 58 houses. No reports of damages or injuries were reported. Garbaturra-Modagashe road was rendered impassable.,KRCS Isiolo,0
06-12-15,West Kenya,Kwale,FLOODING INCIDENT IN BUSIA COUNTY,Floods,Nasewa and Lunga sub-location in Busia County,0,0,0,0,0,68 House holds,At 1400hrs Kemboi (County Manager) reported flooding incident in Busia County. Above average rainfall was received in Nasewa and Lunga sub-locations. 68 households in Nasewa and Lunga sub-location along River Sio affected by flooding. Planning for response will be done tomorrow. Assessment in the neighboring villages of Kadeki. (Brief: 68HHs),KRCS Busia,0
20-05-12,West Kenya,None,FLOODS IN KENYENYA KISII ,Floods,KENYENYA KISII ,0,0,0,0,3,-,E.O.C received information update over the 20th May 2012 floods at Kenyenya Kisii that 3 bodies were recovered. Recovery process was done by KRCS and the community.,KRCS KISII,0
23-05-12,Coast,None,FLOODS IN TANA DELTA ,Floods,TANA DELTA ,0,0,0,0,0,-,"Flash flood reported in the Tana Delta, Mikameni village and its environs (including Garsen) after river Tana burst its bank and the affected have been settled in 19 camps. A total of 8 camps (1047 households) were reached on 23rd May 2012. About 8 more camps to be visited on 24th may 2012. In total, 17 camps (1987 households) confirmed yet to receive NFI?s. Only one camp of 48 households has received NFI?s. Assessment will continue on 24th May 2012 with dispatch of NFI?s",KRCS COAST REGION,0
20-05-12,South Rift,None,"FLOODS REPORTED AT KWA RHODA, NAKURU ",Floods,"KWA RHODA, NAKURU ",0,0,0,0,0,-,After heavy rain at Kwa Rhoda area near heshima primary school in Nakuru floods have been reported at the area. KRCS Nakuru teams are carrying out rapid needs assessment. ,KRCS NAKURU BRANCH,0
16-12-15,Lower Eastern,Laikipia,FLOODS INCIDENT IN LAIKIPIA COUNTY,Floods,Laikipia,0,0,0,0,0,0,"At 0906hrs, Anthony (KRCS Laikipia) reported of a floods incident in Laikipia County. Heavy rainfall was received in most parts of the County in the last 24 hours. In Lamuria sub-County flash floods were reported and led to displacement in Ngarinyiro and Mwiyogo a total of 64 households were affected. Distribution of Non Food Items are currently being distributed in Lamuria targeting to reach 64 households. (Brief; 64HHs)",KRCS Laikipia,0
15-04-13,Upper Eastern,None,RIVER EWASO NYIRO BURSTS ITS BANKS AND FLOODS GAFA,Floods,GAFARSA TOWN,0,0,0,0,0,-,"At 0012hrs, EOC received information that river Ewaso Nyiro River had burst its banks and flooded Gafarsa town. The local people were using spades to build dykes. Assessment to be conducted by KRCS volunteers early on Monday.",KRCS volunteers ,0
01-05-17,South Rift,Narok,FLOODS AT SUSWA IN NAROK COUNTY,Floods, SUSWA IN NAROK COUNTY,0,0,0,0,0,road ,"E.O.C via social media received a report of flash floods along Mai Mahiu road near Suswa trading centre at 1400hrs, the road was rendered impassable and several passengers have been stranded for several hours and heavy traffic reported along the busy highway. ",-,0
06-06-12,Coast,None,FLOOD ALERT AT TANA DELTA ,Floods,TANA DELTA ,0,0,0,0,0,-,Floods in Tana Delta,KRCS COAST,0
24-04-18,Central,Meru,FLASH FLOODS IN MERU COUNTY,Floods,Ngaremara,0,0,0,0,0,KRCS Meru to conduct  an assesment,"Gitonga (KRCS RM) notified the EOC of flash floods at Ngaremara area in Meru County at 1703hrs. Approximately 48Hhs have been displaced, KRCS Meru will conduct an assessment to determine the extent of damage.",,0
11-04-15,North Rift,None, FLOOD INCIDENT AT SARMACH IN WEST POKOT,Floods,SARMACH IN WEST POKOT COUNTY,0,0,0,0,0,"58HH, 32animanls, 359people, 2latrines","Floods incident reported by Velma (KRCS West Pokot) which occurred on 8th April 2015 at Sarmach Sub-location Porkoyu village, following heavy downpour. 58HH were affected, 21 of them fully damaged. 359 people were displaced; 4 acres of Maize destroyed while 11 calf’s, 6 sheep and 15 goat kids swept away. Boreholes, water pipes and 2 latrines damaged. This is after an assessment was conducted by KRCS West Pokot. (Brief: 58HH, 32animanls, 359people, 2latrines)",KRCS Assesment,0
13-05-15,Nairobi,None,FLOOD IN PRISON QUARTERS NEAR WOODLEY,Floods,PRISON QUARTERS NEAR WOODLEY,0,0,0,0,0,0,"Silvia (0722384602) reported floods in Prison Quarters near Togo Woodley at 2200Hrs and that several houses were submerged in the estate due to the heavy down pour, residents were reported to have spent the night on the roof tops.",0,0
08-05-17,Coast,Kwale,FLOODS AT MBADI BRIDGE IN KINANGO,Floods,MBADI BRIDGE IN KINANGO,0,0,0,0,0,Bridge,"E.O.C received report from (Reuben 0724341356) of flood along Kinango Kwale road after river Mwache water surge up cutting off transport at Mbadi Bridge in Kinango Sub County Samburu division Kasomeli ward as at 1300Hrs, Kwale team responding to the scene and will update E.O.C. ",Kwale,0
09-06-12,Lower Eastern,None,FLOODS IN KAJIADO ,Floods,KAJIADO,0,0,0,0,0,-,Flash floods were reported from Kajiado after heavy rains were experienced in Athi River Kitengela and the surrounding area at 1500Hrs sweeping off a section of CS4 road hindering the ongoing safari rally. No casualties were reported.,-,0
07-05-18,West Kenya,Kisumu,FLOOD INCIDENT AT AYEYO VILLAGE IN KISUMU COUNTY,Floods,AYEYO VILLAGE IN KISUMU COUNTY,0,0,0,0,0,0,"Juma (0728779033) reported of a flood incident at Kimira village Ayeyo Sub County in Kisumu County at 2119hrs. Settlements and properties of unknown values have been destroyed by flood, KRCS Kisumu will conduct assessments in the area affected and give detail report.",,0
26-06-12,South Rift,None,FLOOD ALERT IN KAPTEMBWO SLUMS IN NAKURU ,Floods,KAPTEMBWO SLUMS IN NAKURU ,0,0,0,0,0,-,A flood alert was raised via twitter by an ivolunteer at 1739Hrs. E.O.C contacted the Kenya Red Cross Society Nakuru Branch Coordinator who after sending a team to the field confirmed that there had been water overflowing into several houses. The water caused a toilet to collapse. Luckily no injuries were reported from the incident.,KRCS NAKURU BRANCH,0
01-04-13,Lower Eastern,None,FLASH FLOODS,Floods,KITUI,0,0,5,1,0,-,"a flood effect that occurred at River Tiva within Machakos/Kitui road on 28th March 2013 where two Lorries while ferrying sand in the River, were swept away with six people. Five of them were rescued but one went missing then, search and rescue activity is being coordinated by KRCS Kitui.",-,0
17-03-14,North Eastern,None,HEAVY RAINS REPORTED IN DADAAB REFUGEE CAMP ,Floods,DADAAB REFUGEE CAMP,0,0,0,0,0,-,"Heavy rains were reported in Dadaab on the night of Sunday (16th March 2014), causing flooding in the area. Following a rapid assessment in IFO 2 camp conducted by KRCS staff, it was established that several tents had been damaged by the flood waters. The cases were referred to agencies in charge of shelter.  The road network in the area has not been damaged by the heavy rains. More rains are expected in the coming days with a possibility of more flooding and damage to key infrastructure. KRCS response teams are monitoring and will continually update.",KRCS Dadaab,0
16-03-18,North Rift,Turkana,FLASH FLOODS REPORTED IN TURKANA COUNTY.,Floods,TURKANA COUNTY,0,0,0,0,0,0,E.O.C at 2155hrs via social media captured reports of flash floods in Turkana County. Heavy rains witnessed in the County resulted into flashfloods in Turkana South motorists remained stranded after the Kitale- Eldoret was cut off following the bursting of seasonal River Kilemorok.,,0
27-03-18,South Rift,Narok,FLASH FLOOD IN NGASIAT RIVER NAROK COUNTY,Floods,NGASIAT RIVER NAROK COUNTY,0,0,0,0,1,0,Edwin (0713275887) reported to E.O.C at 1952hrs of flash flood that occurred at Ngasiat river killing one female. The body of the deceased has not yet been found. The search for the body continues today.,,0
11-04-16,North Rift,Bungoma,BUNGOMA FLOODS INCIDENT,Floods,BUNGOMA,0,0,0,0,0,50Hh,"At 1232hrs Wekola (KRCS Bungoma) reported of cases that were as a result of heavy rainfall last evening.  Most parts of the county received rainfall above average, in Sirisia sub-county approximately 50HHs were affected these include schools and residential houses. Assessment was carried out today later which a detailed report will be shared. (Brief; 50HHs)",0,0
