Red Crescent Society of Uzbekistan,", 30, Yusuf Hos Hojib St., 700031 Tashkent , ",," (998) (71) 150 8111, "," (998) (71) 256 1801, ",,"secretariat@redcrescent.uz,","http://redcrescent.uz,",,
Viet Nam Red Cross Society,", 82, Nguyen Du Street, Hai Ba Trung district, Hanoï , ",," (84 24) 3826 3703, "," (84 24) 3942 4285, "," VIETNAMCROSS HANOI, ","vnrchq@netnam.org.vn,","http://www.redcross.org.vn,",,"https://www.facebook.com/VietnamRedCross/,"
Vanuatu Red Cross Society,", 1 Rue D'Auvergne Street, Port Vila , Postal Address:, P.O. Box 618, Port Vila , ",", P.O. Box 618, Port Vila , "," (678) 27418 - 27258, "," (678) 22599, "," VANRED, ","ceo@redcrossvanuatu.com,",,,"www.facebook.com/VanuatuRedCross/, 
			, 
			, 
		"
Tuvalu Red Cross Society,", P. O. Box 14 Funafuti Tuvalu, Postal Address:, P. O. Box 14, Funafuti, Tuvalu , ",", P. O. Box 14, Funafuti, Tuvalu , "," (688) 207 40, "," (688) 207 40, ",,"redcrosstuvalu@gmail.com,",,,
Tonga Red Cross Society,", P.O. Box 456, Nuku'Alofa, South West Pacific, South West Pacific, Nuku'Alofa , Postal Address:, P O Box 456,, Taufa’ahau road,, Nuku’alofa,, Tonga , ",", P O Box 456,, Taufa’ahau road,, Nuku’alofa,, Tonga , "," (676) 21360 / 21950, "," (676) 21 508, "," REDCROSS TONGA, ","sg@tongaredcross.to,","http://www.tongaredcross.com,",,"tongaredcross face book,  face book, 
			, 
			, 
		"
Timor-Leste Red Cross Society,", Rua 20 de Maio, No 79, Bairro Formosa,, Dili , Postal Address:, P.O. Box 268 Dili, TL, Dili , ",", P.O. Box 268 Dili, TL, Dili , "," (670) 3321 668, "," (670) 3322 010, ",,"info@redcross.tl,","http://www.redcross.tl,",,
The Thai Red Cross Society,", Administration Bureau, Terd Prakiat Building, 1871 Henry Dunant Road, Bangkok 10330, ",," +66 2256 4037, +66 2256 4048, "," (66) (2) 255 3064, ",,"intertrc@redcross.or.th,","http://www.redcross.or.th,",,"http://www.facebook.com/Thairedcross/,"
The Solomon Islands Red Cross,", Postal Address:, P.O. Box 187, Lombi Crescent Street, New Chinatown, Honiara , ",", P.O. Box 187, Lombi Crescent Street, New Chinatown, Honiara , "," (677) 22682/25999, "," -, ",,"dissemination@redcross.org.sb,",,,https://www.facebook.com/solomonislandsredcrosssociety/
Nigerian Red Cross Society,"Plot 589 T.O.S. Benson Street Off Ngozi Okonjo Iweala, Utako District Abuja",,"(234) 803 713 33 45, (234) 803 473 62 00",,,admin@redcrossnigeria.org,http://www.redcrossnigeria.org,https://twitter.com/nrcs_ng,https://www.facebook.com/NigerianRedCrossSocietyNhqts/
Senegalese Red Cross Society,"3, Boulevard Franklin Roosevelt, dakar, Senegal",,(221) 33 823 39 92,(221) 33 822 53 69,,crsnational@orange.sn,http://www.croixrougesenegal.com/,https://twitter.com/CSenegalaise,https://www.facebook.com/croixrouge.senegalaise
Rwandan Red Cross,", B.P. 425, Kigali , Postal Address:, B.P. 425, Kacyiru - Kigali, ",", B.P. 425, Kacyiru - Kigali, "," (250) 255 105 260, ",,,"rrcs@rwandaredcross.org,","http://www.rwandaredcross.org,",,
Red Cross Society of Niger,", No 655, rue NB 045,, Niamey Bas Terminus, 2ème Arrondissement, Niamey , Postal Address:, B.P. 11386, Niamey , ",", B.P. 11386, Niamey , "," (227) 20 73 30 37, "," (227) 20 73 24 61, ",,"crniger@intnet.ne,",,,
Sao Tome and Principe Red Cross,", Avenida  Marginal 12 de Julho, No.11, Sao Tomé , Postal Address:, C.P. 96, Sao Tomé , ",", C.P. 96, Sao Tomé , "," (239) 222 24 69, "," (239) 222 23 05, ",,"cvstp@cstome.net,","http://www.cruzvermelha-stop.org,",,
Mauritius Red Cross Society,", Ste. Thérèse Street, Curepipe , ",," (230) 670 02 76/670 12 74, "," (230) 674 88 55, "," MAUREDCROSS CUREPIPE, ","mrcs@mauritiusredcross.org,","http://www.mauritiusredcross.org,",,
Seychelles Red Cross Society,", Providence Industrial Estate, Zone 18, Mahe , Postal Address:, B.P. 53, Victoria Mahé , ",", B.P. 53, Victoria Mahé , "," (248) 437 4543 / 437 4544, ",,,"hqredcross@ymail.com,","http://www.seychellesredcross.sc,",,"https://www.facebook.com/pages/Red-Cross-society-of-Seychelles/512444422115061,"
Namibia Red Cross,", No 2128 Independance Avenue, Windhoek , Postal Address:, P.O. Box 346, Windhoek , ",", P.O. Box 346, Windhoek , "," (264) (61) 413 750, "," (264) (61) 228 949, ",,"enquiries@redcross.org.na,","http://www.redcross.org.na,",,https://www.facebook.com/NamibiaRedCross/
Mozambique Red Cross Society,", Avenida Agostinho Neto, 284, Maputo , Postal Address:, Caixa Postal 2986, Maputo , ",", Caixa Postal 2986, Maputo , "," (258) 82 3012251/2, "," (258) (21) 497 725, ",,"cvm@redcross.org.mz,","http://www.redcross.org.mz,",,
Angola Red Cross,"Rua 11 de Novembro. Viana, Luanda Province, Angola",,(244) 931 677 572,(244 222) 291 630,,contactos@cruzvermelha.og.ao,http://www.cruzvermelha.og.ao/,,
Mali Red Cross,", Djélibougou, Rue 261, Porte 02, Route Koulikoro, Bamako , Postal Address:, B.P. 280, Bamako , ",", B.P. 280, Bamako , "," (+223) 20 24 45 69, "," (+223) 20 24 04 14, ",,"crmalienne@croixrouge-mali.org,","http://www.croixrouge-mali.org,",,
Sierra Leone Red Cross Society,", 6 Liverpool Street, P.O. Box 427, Freetown , Postal Address:, P.O. Box 427, Freetown , ",", P.O. Box 427, Freetown , "," (232) (22) 222 384 / (232) (76) 517 519 , "," (232) (22) 22 90 83, "," SIERRA RED CROSS, ","slrcshq@sierraleoneredcross.org,","http://www.sierraleoneredcross.org,",,
Trinidad and Tobago Red Cross Society,", 7a, Fitz Blackman Drive, Wrightson Road Extension, Port of Spain, Trinidad, West Indies , Postal Address:, P.O. Box 357, Port of Spain, Trinidad West Indies , ",", P.O. Box 357, Port of Spain, Trinidad West Indies , "," (1) (868) 627 82 15 / 8218, "," (1) (868) 627 88 13, "," TRINREDCROSS, ","admin@ttrcs.org,",http://www.caribbeanredcross.org,,"https://www.facebook.com/TTRCS/,"
Suriname Red Cross,", Gravenberch Straat 2 - 6, P.O. Box 2919, Paramaribo , Postal Address:, Paramaribo , ",", Paramaribo , ", (597) 498 520," (597) 464-780, ",,"surcross@sr.net,",,,"Het Surinaamse Rode Kruis,  Surinaamse Rode Kruis, 
			, 
			, 
		"
Mauritanian Red Crescent,", Avenue Gamal Abdel Nasser, Nouakchott , Postal Address:, B.P. 344, Nouakchott , ",", B.P. 344, Nouakchott , "," (222)  525 12 49/659 24 10/525 12 49 , "," (222)  525 47 84/529 12 21, ",,"crm@toptechnology.mr,",,,
Salvadorean Red Cross Society,", 17 Calle Poniente y Avenida Henry Dunant,, Centro de Gobierno, San Salvador , Postal Address:, CP1101, San Salvador , ",", CP1101, San Salvador , "," (503) 2222 7749, ("," (503) 2222 7758, "," CRUZALVA SAN SALVADOR, ","rigoberto.hernandez@cruzrojasal.org.sv,","http://www.cruzrojasal.org.sv,",,https://www.facebook.com/search/top/
