,place_id,place_name,place_address,place_lat,place_long,country,phone_number,website,url,adm_lvl_1,adm_lvl_2
4,ChIJhQOPzrvpwEcRtUoTdbW0NjU,"Rode Kruis Maastricht, Meerssen, Mergelland","Cortenstraat 7, 6211 HT Maastricht, Netherlands",50.846811,5.69212,Netherlands,+31 43 321 5111,http://www.rodekruis.nl/maastricht,https://maps.google.com/?cid=3834450824198834869,Limburg,Maastricht
11,ChIJ5d-maabuwEcRBNwzwBCXqfs,Rode Kruis Eijsden-Margraten,"Kerkeweg 2, 6245 MH Eijsden, Netherlands",50.7878444,5.722296,Netherlands,+31 43 409 4306,http://www.rodekruis.nl/eijsden-margraten,https://maps.google.com/?cid=18134191472783907844,Limburg,Eijsden
15,ChIJi_thzibAwEcRsn1v4qfLB9E,Rode Kruis Valkenburg aan de Geul/Nuth,"Bosstraat 5, 6301 HM Valkenburg, Netherlands",50.8718706,5.8229332,Netherlands,+31 6 50235646,http://www.rodekruis.nl/,https://maps.google.com/?cid=15062231400682847666,Limburg,Valkenburg aan de Geul
16,ChIJ18_q0i-UwEcRWPPVaEKIGW4,Rode Kruis Mergelland,"Wittemer Allee 24, 6286 AB Wittem, Netherlands",50.8130709,5.9134158,Netherlands,+31 43 450 3331,http://www.rodekruis.nl/?cid=onlineadvertising&utm_source=google&utm_medium=places&utm_campaign=google_places&utm_content=Wittem,https://maps.google.com/?cid=7933522037397910360,Limburg,Gulpen-Wittem
17,ChIJk7epzLy9wEcRJ60bVSzVxco,Rode Kruis Heerlen e.o.,"Nobelstraat 51, 6411 EL Heerlen, Netherlands",50.883902,5.979322,Netherlands,+31 45 571 4618,http://www.rodekruis.nl/,https://maps.google.com/?cid=14611318952456596775,Limburg,Heerlen
18,ChIJ_YyP3EqWwEcRWJLJwCoOq1A,Rode Kruis Bocholtz-Simpelveld-Vaals,"Jamarstraat 11, 6369 ED Simpelveld, Netherlands",50.8363404,5.980809499999999,Netherlands,+31 45 544 2800,http://www.rodekruis.nl/,https://maps.google.com/?cid=5812755320837608024,Limburg,Simpelveld
2,ChIJMzXK1uC8wEcRZvECjx7_8Fw,Rode Kruis Landgraaf,"Lichtenbergerstraat 7, 6371 AS Landgraaf, Netherlands",50.9038578,6.0196041,Netherlands,+31 45 532 3590,http://www.rodekruis.nl/,https://maps.google.com/?cid=6697133152613364070,Limburg,Landgraaf
3,ChIJjdJjFf67wEcR7elOgF0V5hU,Rode Kruis Brunssum,"Limburgiaplantsoen 62, 6445 XD Brunssum, Netherlands",50.9366023,5.9810299,Netherlands,+31 45 571 4700,http://afdeling.rodekruis.nl/afdeling/brunssum,https://maps.google.com/?cid=1577972210768734701,Limburg,Brunssum
7,ChIJESHRMELHwEcRnTlAwY3QYZY,Rode Kruis Westelijke Mijnstreek Zuid,"Kinkenweg 13A, 6166 AM Geleen, Netherlands",50.96900900000001,5.8370931,Netherlands,+31 46 475 2462,http://www.rodekruis.nl/,https://maps.google.com/?cid=10836171485681301917,Limburg,Sittard-Geleen
9,ChIJ4Vmr6oy7wEcR4REz4XqwbEU,Rode Kruis afdeling Brunssum e.o.,"De Insel 18, 6442 AJ Brunssum, Netherlands",50.9493883,5.9820765,Netherlands,+31 45 571 4700,http://www.rodekruis.nl/brunssum,https://maps.google.com/?cid=5002567327912497633,Limburg,Brunssum
