country,first_language,second_language
Afghanistan,Dari,Pashtu
Albania,Albanian,Greek
Algeria,Arabic,French
Andorra,Catalán,French
Angola,Portuguese,Bantu
Antigua and Barbuda,English,local
Argentina,Spanish,English
Armenia,Armenian,Yezidi
Australia,English,
Austria,German,Slovene
Azerbaijan,Azerbaijani,Russian
Bahamas,English,Creole
Bahrain,Arabic,English
Bangladesh,Bangla,English
Barbados,English,
Belarus,Belorussian,Russian
Belgium,Dutch,French
Belize,English,Spanish
Benin,French,Fon
Bhutan,Dzongkha,Tibetan
Bolivia,Spanish,Quechua
Bosnia and Herzegovina,Bosnian,Croatian
Botswana,English,Setswana
Brazil,Portuguese,Spanish
Brunei,Malay,English
Bulgaria,Bulgarian,Turkish
Burkina Faso,French,
Burundi,Kirundi,Swahili
Cambodia,Khmer,French
Cameroon,French,English
Canada,English,French
Cape Verde,Portuguese,Criuolo
Central African Republic,French,Sangho
Chad,French,Arabic
Chile,Spanish,
China,Standard,Yue
Colombia,Spanish,
Comoros,Arabic,Shikomoro
"Congo, Republic of",French,Lingala
"Congo, the Democratic Republic of the",French,Lingala
Costa Rica,Spanish,English
Côte d'Ivoire,French,
Croatia,Croatian,
Cuba,Spanish,
Cyprus,Greek,Turkish
Czech Republic,Czech,
Denmark,Danish,Faroese
Djibouti,French,Somali
Dominica,English,
Dominican Republic,Spanish,
East Timor,Tetum,Portuguese
Ecuador,Spanish,Quechua
Egypt,Arabic,English
El Salvador,Spanish,Nahua
Equatorial Guinea,Spanish,French
Eritrea,Afar,Arabic
Estonia,Estonian,Russian
Ethiopia,Amharic,Tigrigna
Fiji,English,Fijian
Finland,Finnish,Swedish
France,French,
Gabon,French,Fang
Gambia,English,Mandinka
Georgia,Georgian,Russian
Germany,German,
Ghana,English,African
Greece,Greek,English
Grenada,English,French
Guatemala,Spanish,Amerindian
Guinea,French,
Guinea-Bissau,Portuguese,Criolo
Guyana,English,Amerindian
Haiti,Creole,
Honduras,Spanish,Amerindian
Hungary,Magyar,
Iceland,Icelandic,English
India,Hindi,English
Indonesia,Bahasa,English
Iran,Persian,Turkic
Iraq,Arabic,Kurdish
Ireland,English,Irish
Israel,Hebrew,Arabic
Italy,Italian,German-
Jamaica,English,Jamaican
Japan,Japanese,
Jordan,Arabic,English
Kazakhstan,Kazak,
Kenya,English,Swahili
Kiribati,English,I-Kiribati
Kuwait,Arabic,English
Kyrgyzstan,Kyrgyz,Russian
Laos,Lao,French
Latvia,Latvian,Russian
Lebanon,Arabic,French
Lesotho,English,Sesotho
Liberia,English,
Libya,Arabic,Italian
Liechtenstein,German,Alemannic
Lithuania,Lithuanian,Russian
Luxembourg,Luxermbourgish,German
Macedonia,Macedonian,Albanian
Madagascar,Malagasy,
Malawi,Chichewa,Chinyanja
Malaysia,Bahasa,
Maldives,Maldivian,English
Mali,French,Bambara
Malta,Maltese,
Marshall Islands,Marshallese,English
Mauritania,Hassaniya,Pulaar
Mauritius,English,Creole
Mexico,Spanish,
Micronesia,English,
Moldova,Moldovan,
Monaco,French,English
Mongolia,Mongolian,
Montenegro,Serbian,Montenegrin
Morocco,Arabic,Berber
Mozambique,Portuguese,
Myanmar,Burmese,
Namibia,English,Afrikaans
Nauru,Nauruan,English
Nepal,Nepali,Maithali
Netherlands,Dutch,Frisian
New Zealand,English,Maori
Nicaragua,Spanish,English
Niger,French,Hausa
Nigeria,English,Hausa
North Korea,Korean,
Norway,Bokmål,Nynorsk
Oman,Arabic,English
Pakistan,Urdu,English
Palau,Palauan,English
Palestine,Arabic,Hebrew
Panama,Spanish,English
Papua New Guinea,Tok,
Paraguay,Spanish,Guaraní
Peru,Spanish,Quéchua
Philippines,Filipino,English
Poland,Polish,
Portugal,Portuguese,Mirandese
Qatar,Arabic,English
Romania,Romanian,Hungarian
Russia,Russian,
Rwanda,Kinyarwanda,French
Saint Kitts and Nevis,English,
Saint Lucia,English,French
Saint Vincent and the Grenadines,English,French
Samoa,Samoan,English
San Marino,Italian,
Sao Tome and Principe,Portuguese,
Saudi Arabia,Arabic,
Senegal,French,Wolof
Serbia,Serbian,Romanian
Seychelles,Seselwa,English
Sierra Leone,English,Mende
Singapore,Mandarin,English
Slovakia,Slovak,Hungarian
Slovenia,Slovenian,Serbo-Croatian
Solomon Islands,English,Melanesian
Somalia,Somali,Arabic
South Africa,IsiZulu,IsiXhosa
South Korea,Korean,English
South Sudan,English,Arabic
Spain,Spanish,Catalan
Sri Lanka,Sinhala,Tamil
Sudan,Arabic,Nubian
Suriname,Dutch,Surinamese
Swaziland,English,siSwati
Sweden,Swedish,
Switzerland,German,French
Syria,Arabic,Kurdish
Taiwan,Chinese,
Tajikistan,Tajik,Russian
Tanzania,Swahili,English
Thailand,Thai,English
Togo,French,
Tonga,Tongan,English
Trinidad and Tobago,English,Hindi
Tunisia,Arabic,
Turkey,Turkish,Kurdish
Turkmenistan,Turkmen,Russian
Tuvalu,Tuvaluan,English
Uganda,English,Ganda
Ukraine,Ukrainian,Russian
United Arab Emirates,Arabic,Persian
United Kingdom,English,Welsh
United States,English,Spanish
Uruguay,Spanish,Portunol
Uzbekistan,Uzbek,Russian
Vanuatu,Bislama,English
Vatican,Italian,Latin
Venezuela,Spanish,
Vietnam,Vietnamese,English
Yemen,Arabic,
Zambia,English,
Zimbabwe,English,Shona
